param_foc1,param_val1,param_foc2,param_val2,time,variable,value,nutrient,variable2,value2,abund_type
z_nb,6.153846153846154e-18,z_pb,1e-18,23,Q_n_n,0.01239383065836247,+N,Q_n,0.01239383065836247,NA
z_nb,6.153846153846154e-18,z_pb,1e-18,23,Q_p_n,5.791151160886445e-4,+N,Q_p,5.791151160886445e-4,NA
z_nb,6.153846153846154e-18,z_pb,1e-18,23,H_n,0.1513863265044263,+N,H,0.1513863265044263,NA
z_nb,6.153846153846154e-18,z_pb,1e-18,23,V_b_n,5541261.328284062,+N,PAV_conc,6.743608710533384,con
z_nb,6.153846153846154e-18,z_pb,1e-18,23,V_c_n,0,+N,RPV_conc,0,con
z_nb,6.153846153846154e-18,z_pb,1e-18,23,R_n_p,1.3743432040099883e-7,+P,R_n,1.3743432040099883e-7,NA
z_nb,6.153846153846154e-18,z_pb,1e-18,23,R_p_p,1.361060790078633e-6,+P,R_p,1.361060790078633e-6,NA
z_nb,6.153846153846154e-18,z_pb,1e-18,23,Q_n_p,0.004585669751043416,+P,Q_n,0.004585669751043416,NA
z_nb,6.153846153846154e-18,z_pb,1e-18,23,Q_p_p,0.0019621397774841156,+P,Q_p,0.0019621397774841156,NA
z_nb,6.153846153846154e-18,z_pb,1e-18,23,H_p,0.13730609806187555,+P,H,0.13730609806187555,NA
z_nb,6.153846153846154e-18,z_pb,1e-18,23,V_b_p,2838479.6166789536,+P,PAV_conc,6.453085932875994,con
z_nb,6.153846153846154e-18,z_pb,1e-18,23,V_c_p,0,+P,RPV_conc,0,con
z_nb,6.153846153846154e-18,z_pb,1e-18,23,R_n_np,7.165182067820078e-6,+N+P,R_n,7.165182067820078e-6,NA
z_nb,6.153846153846154e-18,z_pb,1e-18,23,R_p_np,1.208496100847543e-6,+N+P,R_p,1.208496100847543e-6,NA
z_nb,6.153846153846154e-18,z_pb,1e-18,23,Q_n_np,0.012181653836869463,+N+P,Q_n,0.012181653836869463,NA
z_nb,6.153846153846154e-18,z_pb,1e-18,23,Q_p_np,0.0017500285739363885,+N+P,Q_p,0.0017500285739363885,NA
z_nb,6.153846153846154e-18,z_pb,1e-18,23,H_np,0.1540346793666916,+N+P,H,0.1540346793666916,NA
z_nb,6.153846153846154e-18,z_pb,1e-18,23,V_b_np,6264855.402374746,+N+P,PAV_conc,6.7969111209213935,con
z_nb,6.153846153846154e-18,z_pb,1e-18,23,V_c_np,0,+N+P,RPV_conc,0,con
z_nb,6.153846153846154e-18,z_pb,1e-18,23,VbH_low,389740.56059435534,low,PAV_pop,5.590776719814736,pop
z_nb,6.153846153846154e-18,z_pb,1e-18,23,VbH_n,838871.1966899621,+N,PAV_pop,5.923695800518594,pop
z_nb,6.153846153846154e-18,z_pb,1e-18,23,VbH_p,389740.56059435534,+P,PAV_pop,5.590776719814736,pop
z_nb,6.153846153846154e-18,z_pb,1e-18,23,VbH_np,965004.9931834798,+N+P,PAV_pop,5.9845300105442405,pop
z_nb,6.153846153846154e-18,z_pb,1e-18,23,VcH_low,0,low,RPV_pop,0,pop
z_nb,6.153846153846154e-18,z_pb,1e-18,23,VcH_n,0,+N,RPV_pop,0,pop
z_nb,6.153846153846154e-18,z_pb,1e-18,23,VcH_p,0,+P,RPV_pop,0,pop
z_nb,6.153846153846154e-18,z_pb,1e-18,23,VcH_np,0,+N+P,RPV_pop,0,pop
z_nb,1.0318971918836941e-17,z_pb,1.6768329368110032e-18,23,R_n_low,1.3743432050714375e-7,low,R_n,1.3743432050714375e-7,NA
z_nb,1.0318971918836941e-17,z_pb,1.6768329368110032e-18,23,R_p_low,2.5387880990784798e-8,low,R_p,2.5387880990784798e-8,NA
z_nb,1.0318971918836941e-17,z_pb,1.6768329368110032e-18,23,Q_n_low,0.0045856697095788814,low,Q_n,0.0045856697095788814,NA
z_nb,1.0318971918836941e-17,z_pb,1.6768329368110032e-18,23,Q_p_low,6.384844906063481e-4,low,Q_p,6.384844906063481e-4,NA
z_nb,1.0318971918836941e-17,z_pb,1.6768329368110032e-18,23,H_low,0.13730609795272153,low,H,0.13730609795272153,NA
z_nb,1.0318971918836941e-17,z_pb,1.6768329368110032e-18,23,V_b_low,2838479.600709139,low,PAV_conc,6.453085930432573,con
z_nb,1.0318971918836941e-17,z_pb,1.6768329368110032e-18,23,V_c_low,0,low,RPV_conc,0,con
z_nb,1.0318971918836941e-17,z_pb,1.6768329368110032e-18,23,R_n_n,7.3064122271658554e-6,+N,R_n,7.3064122271658554e-6,NA
z_nb,1.0318971918836941e-17,z_pb,1.6768329368110032e-18,23,R_p_n,2.3039385602403783e-8,+N,R_p,2.3039385602403783e-8,NA
z_nb,1.0318971918836941e-17,z_pb,1.6768329368110032e-18,23,Q_n_n,0.012393830595723016,+N,Q_n,0.012393830595723016,NA
z_nb,1.0318971918836941e-17,z_pb,1.6768329368110032e-18,23,Q_p_n,5.791151048639109e-4,+N,Q_p,5.791151048639109e-4,NA
z_nb,1.0318971918836941e-17,z_pb,1.6768329368110032e-18,23,H_n,0.15138632639343405,+N,H,0.15138632639343405,NA
z_nb,1.0318971918836941e-17,z_pb,1.6768329368110032e-18,23,V_b_n,5541261.299531282,+N,PAV_conc,6.743608708279895,con
z_nb,1.0318971918836941e-17,z_pb,1.6768329368110032e-18,23,V_c_n,0,+N,RPV_conc,0,con
z_nb,1.0318971918836941e-17,z_pb,1.6768329368110032e-18,23,R_n_p,1.3743432050714375e-7,+P,R_n,1.3743432050714375e-7,NA
z_nb,1.0318971918836941e-17,z_pb,1.6768329368110032e-18,23,R_p_p,1.3610607911629564e-6,+P,R_p,1.3610607911629564e-6,NA
z_nb,1.0318971918836941e-17,z_pb,1.6768329368110032e-18,23,Q_n_p,0.0045856697095788814,+P,Q_n,0.0045856697095788814,NA
z_nb,1.0318971918836941e-17,z_pb,1.6768329368110032e-18,23,Q_p_p,0.001962139771705526,+P,Q_p,0.001962139771705526,NA
z_nb,1.0318971918836941e-17,z_pb,1.6768329368110032e-18,23,H_p,0.13730609795272153,+P,H,0.13730609795272153,NA
z_nb,1.0318971918836941e-17,z_pb,1.6768329368110032e-18,23,V_b_p,2838479.600709139,+P,PAV_conc,6.453085930432573,con
z_nb,1.0318971918836941e-17,z_pb,1.6768329368110032e-18,23,V_c_p,0,+P,RPV_conc,0,con
z_nb,1.0318971918836941e-17,z_pb,1.6768329368110032e-18,23,R_n_np,7.165182069304654e-6,+N+P,R_n,7.165182069304654e-6,NA
z_nb,1.0318971918836941e-17,z_pb,1.6768329368110032e-18,23,R_p_np,1.2084961010736382e-6,+N+P,R_p,1.2084961010736382e-6,NA
z_nb,1.0318971918836941e-17,z_pb,1.6768329368110032e-18,23,Q_n_np,0.01218165376189661,+N+P,Q_n,0.01218165376189661,NA
z_nb,1.0318971918836941e-17,z_pb,1.6768329368110032e-18,23,Q_p_np,0.0017500285617109922,+N+P,Q_p,0.0017500285617109922,NA
z_nb,1.0318971918836941e-17,z_pb,1.6768329368110032e-18,23,H_np,0.15403467933789672,+N+P,H,0.15403467933789672,NA
