"Variable","Estimate","Std.error","Z","P"
"(Intercept)",0.191305709434737,1.00364696263721,0.190610559844725,0.848830716324364
"dpiI",0.190327532223127,0.057435557214185,3.31375791329698,0.000920511680573446
"dpiI:highN",0.0494878710171265,0.033287418434875,1.48668395880404,0.137098301349725
"dpiI:highP",0.023999288780326,0.0351310309782707,0.683136478265329,0.494520606952641
"dpiI:highN:highP",-0.027207652087238,0.0440925902659637,-0.617057240754585,0.537196970921468
"Groups","Name","Std.Dev."
"set","(Intercept)","0.8059"
"N"
72
