param_foc1,param_val1,param_foc2,param_val2,first_virus,time,variable,value,nutrient,variable2,abund_type
z_nb,1e-4,z_nc,1.5199110829529394e-18,RPV,500,R_n_p,4.1305748915646226e-10,+P,R_n,NA
z_nb,1e-4,z_nc,1.5199110829529394e-18,RPV,500,R_p_p,3.905527592619045e-9,+P,R_p,NA
z_nb,1e-4,z_nc,1.5199110829529394e-18,RPV,500,Q_n_p,0.010999172838637881,+P,Q_n,NA
z_nb,1e-4,z_nc,1.5199110829529394e-18,RPV,500,Q_p_p,7.535606750196713e-5,+P,Q_p,NA
z_nb,1e-4,z_nc,1.5199110829529394e-18,RPV,500,H_p,44.997073732103885,+P,H,NA
z_nb,1e-4,z_nc,1.5199110829529394e-18,RPV,500,V_b_p,4.570774158785268,+P,PAV_conc,con
z_nb,1e-4,z_nc,1.5199110829529394e-18,RPV,500,V_c_p,9.320818871659151,+P,RPV_conc,con
z_nb,1e-4,z_nc,1.5199110829529394e-18,RPV,500,R_n_np,2.1037203399092103e-8,+N+P,R_n,NA
z_nb,1e-4,z_nc,1.5199110829529394e-18,RPV,500,R_p_np,3.9055224244592984e-9,+N+P,R_p,NA
z_nb,1e-4,z_nc,1.5199110829529394e-18,RPV,500,Q_n_np,0.010999210533144831,+N+P,Q_n,NA
z_nb,1e-4,z_nc,1.5199110829529394e-18,RPV,500,Q_p_np,7.535602113772483e-5,+N+P,Q_p,NA
z_nb,1e-4,z_nc,1.5199110829529394e-18,RPV,500,H_np,44.99713621504833,+N+P,H,NA
z_nb,1e-4,z_nc,1.5199110829529394e-18,RPV,500,V_b_np,4.570918873396904,+N+P,PAV_conc,con
z_nb,1e-4,z_nc,1.5199110829529394e-18,RPV,500,V_c_np,9.899639716715365,+N+P,RPV_conc,con
z_nb,1e-4,z_nc,1.5199110829529394e-18,RPV,500,VbH_low,4.729177340194545,low,PAV_pop,pop
z_nb,1e-4,z_nc,1.5199110829529394e-18,RPV,500,VbH_n,4.730129099955601,+N,PAV_pop,pop
z_nb,1e-4,z_nc,1.5199110829529394e-18,RPV,500,VbH_p,6.223947021059703,+P,PAV_pop,pop
z_nb,1e-4,z_nc,1.5199110829529394e-18,RPV,500,VbH_np,6.224092342533119,+N+P,PAV_pop,pop
z_nb,1e-4,z_nc,1.5199110829529394e-18,RPV,500,VcH_low,7.639424858781181,low,RPV_pop,pop
z_nb,1e-4,z_nc,1.5199110829529394e-18,RPV,500,VcH_n,8.232193938265675,+N,RPV_pop,pop
z_nb,1e-4,z_nc,1.5199110829529394e-18,RPV,500,VcH_p,10.974003142935572,+P,RPV_pop,pop
z_nb,1e-4,z_nc,1.5199110829529394e-18,RPV,500,VcH_np,11.552824591202123,+N+P,RPV_pop,pop
z_nb,1e-4,z_nc,2.3101297000831582e-18,RPV,500,R_n_low,1.292919525519966e-8,low,R_n,NA
z_nb,1e-4,z_nc,2.3101297000831582e-18,RPV,500,R_p_low,2.3845955905337393e-9,low,R_p,NA
