param_foc1,param_val1,param_foc2,param_val2,first_virus,time,variable,value,nutrient,variable2,abund_type
q_pc,7.4e-5,z_pc,1e-19,RPV,100,R_n_low,3.637119105342935e-8,low,R_n,NA
q_pc,7.4e-5,z_pc,1e-19,RPV,100,R_p_low,6.7059293441594006e-9,low,R_p,NA
q_pc,7.4e-5,z_pc,1e-19,RPV,100,Q_n_low,0.0011160230557203663,low,Q_n,NA
q_pc,7.4e-5,z_pc,1e-19,RPV,100,Q_p_low,1.4738024520409267e-4,low,Q_p,NA
q_pc,7.4e-5,z_pc,1e-19,RPV,100,H_low,0.5114123259117532,low,H,NA
q_pc,7.4e-5,z_pc,1e-19,RPV,100,V_b_low,0,low,PAV_conc,con
q_pc,7.4e-5,z_pc,1e-19,RPV,100,V_c_low,7.561448817237145,low,RPV_conc,con
q_pc,7.4e-5,z_pc,1e-19,RPV,100,R_n_n,9.625193689276333e-7,+N,R_n,NA
q_pc,7.4e-5,z_pc,1e-19,RPV,100,R_p_n,3.4208971962800087e-9,+N,R_p,NA
q_pc,7.4e-5,z_pc,1e-19,RPV,100,Q_n_n,0.005972625484864403,+N,Q_n,NA
q_pc,7.4e-5,z_pc,1e-19,RPV,100,Q_p_n,7.519575896670098e-5,+N,Q_p,NA
q_pc,7.4e-5,z_pc,1e-19,RPV,100,H_n,1.0023855497093972,+N,H,NA
q_pc,7.4e-5,z_pc,1e-19,RPV,100,V_b_n,0,+N,PAV_conc,con
q_pc,7.4e-5,z_pc,1e-19,RPV,100,V_c_n,8.030218629680414,+N,RPV_conc,con
q_pc,7.4e-5,z_pc,1e-19,RPV,100,R_n_p,3.637119105342935e-8,+P,R_n,NA
q_pc,7.4e-5,z_pc,1e-19,RPV,100,R_p_p,3.4758345023195517e-7,+P,R_p,NA
q_pc,7.4e-5,z_pc,1e-19,RPV,100,Q_n_p,0.0011160230557203663,+P,Q_n,NA
q_pc,7.4e-5,z_pc,1e-19,RPV,100,Q_p_p,0.0016970424703560802,+P,Q_p,NA
q_pc,7.4e-5,z_pc,1e-19,RPV,100,H_p,0.5114123259117532,+P,H,NA
q_pc,7.4e-5,z_pc,1e-19,RPV,100,V_b_p,0,+P,PAV_conc,con
q_pc,7.4e-5,z_pc,1e-19,RPV,100,V_c_p,7.561448817237145,+P,RPV_conc,con
q_pc,7.4e-5,z_pc,1e-19,RPV,100,R_n_np,1.881698699205047e-7,+N+P,R_n,NA
q_pc,7.4e-5,z_pc,1e-19,RPV,100,R_p_np,3.1167271899468887e-8,+N+P,R_p,NA
q_pc,7.4e-5,z_pc,1e-19,RPV,100,Q_n_np,0.001189194713402883,+N+P,Q_n,NA
q_pc,7.4e-5,z_pc,1e-19,RPV,100,Q_p_np,1.7301232367925894e-4,+N+P,Q_p,NA
q_pc,7.4e-5,z_pc,1e-19,RPV,100,H_np,5.035371883277289,+N+P,H,NA
q_pc,7.4e-5,z_pc,1e-19,RPV,100,V_b_np,0,+N+P,PAV_conc,con
q_pc,7.4e-5,z_pc,1e-19,RPV,100,V_c_np,9.169338240965299,+N+P,RPV_conc,con
q_pc,7.4e-5,z_pc,1e-19,RPV,100,VbH_low,0,low,PAV_pop,pop
