param_foc1,param_val1,param_foc2,param_val2,first_virus,time,variable,value,nutrient,variable2,abund_type
q_nc,0.0011,z_nc,1e-18,RPV,100,V_c_np,9.169338616201761,+N+P,RPV_conc,con
q_nc,0.0011,z_nc,1e-18,RPV,100,VbH_low,0,low,PAV_pop,pop
q_nc,0.0011,z_nc,1e-18,RPV,100,VbH_n,0,+N,PAV_pop,pop
q_nc,0.0011,z_nc,1e-18,RPV,100,VbH_p,0,+P,PAV_pop,pop
q_nc,0.0011,z_nc,1e-18,RPV,100,VbH_np,0,+N+P,PAV_pop,pop
q_nc,0.0011,z_nc,1e-18,RPV,100,VcH_low,7.270220035437557,low,RPV_pop,pop
q_nc,0.0011,z_nc,1e-18,RPV,100,VcH_n,8.031253270507777,+N,RPV_pop,pop
q_nc,0.0011,z_nc,1e-18,RPV,100,VcH_p,7.270220035437557,+P,RPV_pop,pop
q_nc,0.0011,z_nc,1e-18,RPV,100,VcH_np,9.87137039870227,+N+P,RPV_pop,pop
q_nc,0.0011,z_nc,1e-12,RPV,100,R_n_low,3.7067651039529945e-8,low,R_n,NA
q_nc,0.0011,z_nc,1e-12,RPV,100,R_p_low,6.834268624024533e-9,low,R_p,NA
q_nc,0.0011,z_nc,1e-12,RPV,100,Q_n_low,0.0011155119136555792,low,Q_n,NA
q_nc,0.0011,z_nc,1e-12,RPV,100,Q_p_low,1.5020013417679545e-4,low,Q_p,NA
q_nc,0.0011,z_nc,1e-12,RPV,100,H_low,0.501809891505511,low,H,NA
q_nc,0.0011,z_nc,1e-12,RPV,100,V_b_low,0,low,PAV_conc,con
q_nc,0.0011,z_nc,1e-12,RPV,100,V_c_low,7.548071966409621,low,RPV_conc,con
q_nc,0.0011,z_nc,1e-12,RPV,100,R_n_n,9.625193420960084e-7,+N,R_n,NA
q_nc,0.0011,z_nc,1e-12,RPV,100,R_p_n,3.4208971029024857e-9,+N,R_p,NA
q_nc,0.0011,z_nc,1e-12,RPV,100,Q_n_n,0.005906209459237206,+N,Q_n,NA
q_nc,0.0011,z_nc,1e-12,RPV,100,Q_p_n,7.519576118956182e-5,+N,Q_p,NA
q_nc,0.0011,z_nc,1e-12,RPV,100,H_n,1.0023855766952898,+N,H,NA
q_nc,0.0011,z_nc,1e-12,RPV,100,V_b_n,0,+N,PAV_conc,con
q_nc,0.0011,z_nc,1e-12,RPV,100,V_c_n,8.030219317941137,+N,RPV_conc,con
q_nc,0.0011,z_nc,1e-12,RPV,100,R_n_p,3.7067651039529945e-8,+P,R_n,NA
q_nc,0.0011,z_nc,1e-12,RPV,100,R_p_p,3.543125887252901e-7,+P,R_p,NA
q_nc,0.0011,z_nc,1e-12,RPV,100,Q_n_p,0.0011155119136555792,+P,Q_n,NA
q_nc,0.0011,z_nc,1e-12,RPV,100,Q_p_p,0.0017295031973565461,+P,Q_p,NA
q_nc,0.0011,z_nc,1e-12,RPV,100,H_p,0.501809891505511,+P,H,NA
q_nc,0.0011,z_nc,1e-12,RPV,100,V_b_p,0,+P,PAV_conc,con
q_nc,0.0011,z_nc,1e-12,RPV,100,V_c_p,7.548071966409621,+P,RPV_conc,con
q_nc,0.0011,z_nc,1e-12,RPV,100,R_n_np,2.665876439389736e-7,+N+P,R_n,NA
q_nc,0.0011,z_nc,1e-12,RPV,100,R_p_np,4.93191677348483e-8,+N+P,R_p,NA
q_nc,0.0011,z_nc,1e-12,RPV,100,Q_n_np,0.0011550471311598724,+N+P,Q_n,NA
q_nc,0.0011,z_nc,1e-12,RPV,100,Q_p_np,2.4326754294079996e-4,+N+P,Q_p,NA
q_nc,0.0011,z_nc,1e-12,RPV,100,H_np,3.5687774435992528,+N+P,H,NA
q_nc,0.0011,z_nc,1e-12,RPV,100,V_b_np,0,+N+P,PAV_conc,con
q_nc,0.0011,z_nc,1e-12,RPV,100,V_c_np,8.926380093658057,+N+P,RPV_conc,con
