"Variable","Estimate","Std.error","Z","P"
"(Intercept)",13.6130606441314,0.228312257498125,59.6247472356722,0
"dpiI",0.0572881910540978,0.0149145500443523,3.84109415863948,0.000122487115678262
"dpiI:highN",-0.00292880629895169,0.0109909074449044,-0.266475385552404,0.789873113771641
"dpiI:highP",-0.00841623823240388,0.0111752503072876,-0.753114069124292,0.451381370709918
"dpiI:highN:highP",0.0115078143651731,0.014970902536433,0.768678731103071,0.442084054133023
"Groups","Name","Std.Dev."
"set","(Intercept)","0.13233"
"N"
74
