param_foc1,param_val1,param_foc2,param_val2,param_foc3,param_val3,param_foc4,param_val4,variable2,nutrient,first,last,growth
z_nc,1.7e-18,z_pc,2.6e-19,q_nb,1e-6,q_pb,1e-6,PAV_conc,low,500000,505865.1496320464,0.38484707724051076
z_nc,1.7e-18,z_pc,2.6e-19,q_nb,1e-6,q_pb,1e-6,PAV_conc,+N,500000,505105.1286173121,0.3352299940270188
z_nc,1.7e-18,z_pc,2.6e-19,q_nb,1e-6,q_pb,1e-6,PAV_conc,+P,500000,505882.9005766023,0.3860050358257228
z_nc,1.7e-18,z_pc,2.6e-19,q_nb,1e-6,q_pb,1e-6,PAV_conc,+N+P,500000,505129.9852035,0.3368539077737182
z_nc,1.7e-18,z_pc,2.6e-19,q_nb,1e-6,q_pb,1e-6,RPV_conc,low,500000,521226.11943662126,0.3430008417896105
z_nc,1.7e-18,z_pc,2.6e-19,q_nb,1e-6,q_pb,1e-6,RPV_conc,+N,500000,522576.18063056015,0.3643420690703207
z_nc,1.7e-18,z_pc,2.6e-19,q_nb,1e-6,q_pb,1e-6,RPV_conc,+P,500000,521226.11943662126,0.3430008417896105
z_nc,1.7e-18,z_pc,2.6e-19,q_nb,1e-6,q_pb,1e-6,RPV_conc,+N+P,500000,522576.18063056015,0.3643420690703207
z_nc,1.7e-18,z_pc,2.6e-19,q_nb,5e-6,q_pb,1e-6,PAV_conc,low,500000,505858.5770749684,0.3844183151627762
z_nc,1.7e-18,z_pc,2.6e-19,q_nb,5e-6,q_pb,1e-6,PAV_conc,+N,500000,505105.1286173121,0.3352299940270188
z_nc,1.7e-18,z_pc,2.6e-19,q_nb,5e-6,q_pb,1e-6,PAV_conc,+P,500000,505858.5770749684,0.3844183151627762
z_nc,1.7e-18,z_pc,2.6e-19,q_nb,5e-6,q_pb,1e-6,PAV_conc,+N+P,500000,505126.1672602862,0.33660448167371615
z_nc,1.7e-18,z_pc,2.6e-19,q_nb,5e-6,q_pb,1e-6,RPV_conc,low,500000,521226.11943662126,0.3430008417896105
z_nc,1.7e-18,z_pc,2.6e-19,q_nb,5e-6,q_pb,1e-6,RPV_conc,+N,500000,522576.18063056015,0.3643420690703207
z_nc,1.7e-18,z_pc,2.6e-19,q_nb,5e-6,q_pb,1e-6,RPV_conc,+P,500000,521226.11943662126,0.3430008417896105
z_nc,1.7e-18,z_pc,2.6e-19,q_nb,5e-6,q_pb,1e-6,RPV_conc,+N+P,500000,522576.18063056015,0.3643420690703207
z_nc,1.7e-18,z_pc,2.6e-19,q_nb,1e-5,q_pb,1e-6,PAV_conc,low,500000,505825.04541452543,0.3822307838626258
z_nc,1.7e-18,z_pc,2.6e-19,q_nb,1e-5,q_pb,1e-6,PAV_conc,+N,500000,505105.1286173123,0.3352299940270261
z_nc,1.7e-18,z_pc,2.6e-19,q_nb,1e-5,q_pb,1e-6,PAV_conc,+P,500000,505825.04541452543,0.3822307838626258
z_nc,1.7e-18,z_pc,2.6e-19,q_nb,1e-5,q_pb,1e-6,PAV_conc,+N+P,500000,505109.64027466153,0.33552475252217306
z_nc,1.7e-18,z_pc,2.6e-19,q_nb,1e-5,q_pb,1e-6,RPV_conc,low,500000,521226.11943662126,0.3430008417896105
z_nc,1.7e-18,z_pc,2.6e-19,q_nb,1e-5,q_pb,1e-6,RPV_conc,+N,500000,522576.18063056015,0.3643420690703207
z_nc,1.7e-18,z_pc,2.6e-19,q_nb,1e-5,q_pb,1e-6,RPV_conc,+P,500000,521226.11943662126,0.3430008417896105
z_nc,1.7e-18,z_pc,2.6e-19,q_nb,1e-5,q_pb,1e-6,RPV_conc,+N+P,500000,522576.18063056015,0.3643420690703207
z_nc,1.7e-18,z_pc,2.6e-19,q_nb,2.5e-5,q_pb,1e-6,PAV_conc,low,500000,505724.46385862806,0.37566819582293826
z_nc,1.7e-18,z_pc,2.6e-19,q_nb,2.5e-5,q_pb,1e-6,PAV_conc,+N,500000,505060.0625819037,0.3322855663583135
z_nc,1.7e-18,z_pc,2.6e-19,q_nb,2.5e-5,q_pb,1e-6,PAV_conc,+P,500000,505724.46385862806,0.37566819582293826
