well,sample,target,task,reporter,quencher,cycle,cycle_mean,cycle_sd,quantity,quantity_mean,quantity_sd,auto_threshold,threshold,auto_baseline,baseline_start,baseline_end,comments,high_sd,no_amp,outlier_rg,exp_fail,q_group
A9,PAV 1e3,RPV,TEST,VIC,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.032394665,TRUE,3,44,NA,N,Y,N,Y,1
A10,RPV 1e3,PAV,TEST,FAM,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.035657635,TRUE,3,44,NA,Y,Y,N,Y,1
A10,RPV 1e3,RPV,TEST,VIC,NFQ-MGB,37.29089355,37.2916832,0.604265571,1204.87146,1267.196655,489.0452881,TRUE,0.032394665,TRUE,3,35,NA,Y,Y,N,Y,1
A11,RPV 1e3,PAV,TEST,FAM,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.035657635,TRUE,3,44,NA,Y,Y,N,Y,1
A11,RPV 1e3,RPV,TEST,VIC,NFQ-MGB,36.68780899,37.2916832,0.604265571,1784.41687,1267.196655,489.0452881,TRUE,0.032394665,TRUE,3,34,NA,Y,Y,N,Y,1
A12,RPV 1e3,PAV,TEST,FAM,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.035657635,TRUE,3,44,NA,Y,Y,N,Y,1
A12,RPV 1e3,RPV,TEST,VIC,NFQ-MGB,37.89633942,37.2916832,0.604265571,812.3016968,1267.196655,489.0452881,TRUE,0.032394665,TRUE,3,35,NA,Y,Y,N,Y,1
B1,PAV 1e4,PAV,STANDARD,FAM,NFQ-MGB,33.5365448,33.66156387,0.146199837,10000,NA,NA,TRUE,0.035657635,TRUE,3,31,NA,N,Y,N,Y,1
B1,PAV 1e4,RPV,UNKNOWN,VIC,NFQ-MGB,Undetermined,39.83581924,NA,NA,NA,NA,TRUE,0.032394665,TRUE,3,44,NA,N,Y,N,Y,1
B2,PAV 1e4,PAV,STANDARD,FAM,NFQ-MGB,33.6258316,33.66156387,0.146199837,10000,NA,NA,TRUE,0.035657635,TRUE,3,31,NA,N,Y,N,Y,1
B2,PAV 1e4,RPV,UNKNOWN,VIC,NFQ-MGB,Undetermined,39.83581924,NA,NA,NA,NA,TRUE,0.032394665,TRUE,3,44,NA,N,Y,N,Y,1
B3,PAV 1e4,PAV,STANDARD,FAM,NFQ-MGB,33.82231903,33.66156387,0.146199837,10000,NA,NA,TRUE,0.035657635,TRUE,3,31,NA,N,N,N,N,1
B3,PAV 1e4,RPV,UNKNOWN,VIC,NFQ-MGB,39.83581924,39.83581924,NA,229.7322388,229.7322388,NA,TRUE,0.032394665,TRUE,3,37,NA,N,N,N,N,1
B4,RPV 1e4,PAV,UNKNOWN,FAM,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.035657635,TRUE,3,44,NA,N,Y,N,Y,1
B4,RPV 1e4,RPV,STANDARD,VIC,NFQ-MGB,34.14635468,34.10868073,0.032844439,10000,NA,NA,TRUE,0.032394665,TRUE,3,32,NA,N,Y,N,Y,1
B5,RPV 1e4,PAV,UNKNOWN,FAM,NFQ-MGB,Undetermined,NA,NA,NA,NA,NA,TRUE,0.035657635,TRUE,3,44,NA,N,Y,N,Y,1
