set,sample,nutrient,inoculation,time,invasion,replicate,expt_notes,no_analysis,freezer_bag_ID,extraction_date,tube_label,extraction_mass.mg,shoot_mass.g,extraction_notes,planned_qPCR_group
2,L PAV T4 I 1,L,PAV,4,I,1,NA,NA,Ex 2 S2 T4,5/26/16,S2 LP4I1,31.1,0.118,"re-do from 5/4/16, used all tissue",19
2,L PAV T4 I 2,L,PAV,4,I,2,NA,NA,Ex 2 S2 T4,5/26/16,S2 LP4I2,48.9,0.3751,re-do from 5/4/16,19
2,NP RPV T4 S 1,NP,RPV,4,S,1,NA,NA,Ex 2 S2 T4,5/26/16,S2 NPR4S1,49.4,0.3752,NA,19
2,N PAV T4 I 1,N,PAV,4,I,1,NA,NA,Ex 2 S2 T4,5/26/16,S2 NP4I1,49.8,0.3071,re-do from 5/4/16,19
2,N PAV T4 S 1,N,PAV,4,S,1,NA,NA,Ex 2 S2 T4,5/26/16,S2 NP4S1,52.9,0.2936,re-do from 5/4/16,19
2,L PAV T4 S 2,L,PAV,4,S,2,NA,NA,Ex 2 S2 T4,5/26/16,S2 LP4S2,53,0.2359,re-do from 5/4/16,19
2,P PAV T5 S 1,P,PAV,5,S,1,broke cage off leaf after invasion IAP,1,Ex 2 S2 T5,5/26/16,S2 PP5S1,48.2,0.1214,didn't mean to extract. I meant to do PR5S1,19
3R,L RPV T4 I 1,L,RPV,4,I,1,NA,NA,Ex 2 S3R T4,5/26/16,S3R LR4I1,48.6,0.2265,NA,19
3R,NP RPV T4 I 1,NP,RPV,4,I,1,NA,NA,Ex 2 S3R T4,5/26/16,S3R NPR4I1,48.9,0.3061,NA,19
3R,NP RPV T4 S 1,NP,RPV,4,S,1,NA,NA,Ex 2 S3R T4,5/26/16,S3R NPR4S1,49,0.2011,NA,19
3R,N RPV T4 I 1,N,RPV,4,I,1,NA,NA,Ex 2 S3R T4,5/26/16,S3R NR4I1,49.2,0.3734,NA,19
3R,P RPV T4 I 1,P,RPV,4,I,1,NA,NA,Ex 2 S3R T4,5/26/16,S3R PR4I1,50.6,0.1667,NA,19
3R,L RPV T4 S 1,L,RPV,4,S,1,NA,NA,Ex 2 S3R T4,5/26/16,S3R LR4S1,51.5,0.268,NA,19
3R,N RPV T4 S 1,N,RPV,4,S,1,NA,NA,Ex 2 S3R T4,5/26/16,S3R NR4S1,52.1,0.1919,NA,19
3R,P RPV T4 S 1,P,RPV,4,S,1,NA,NA,Ex 2 S3R T4,5/26/16,S3R PR4S1,53.7,0.1517,NA,19
3R,NP RPV T5 S 1,NP,RPV,5,S,1,NA,NA,Ex 2 S3R T5,5/26/16,S3R NPR5S1,48.9,0.1712,NA,19
3R,P RPV T5 S 1,P,RPV,5,S,1,NA,NA,Ex 2 S3R T5,5/26/16,S3R PR5S1,49,0.1966,NA,19
3R,L RPV T5 I 1,L,RPV,5,I,1,NA,NA,Ex 2 S3R T5,5/26/16,S3R LR5I1,49.2,0.2202,NA,19
3R,N RPV T5 S 1,N,RPV,5,S,1,NA,NA,Ex 2 S3R T5,5/26/16,S3R NR5S1,49.9,0.2036,NA,20
3R,P PAV T5 S 1,P,PAV,5,S,1,NA,NA,Ex 2 S3R T5,5/26/16,S3R PP4S1,51.1,0.2348,NA,20
3R,NP RPV T5 I 1,NP,RPV,5,I,1,NA,NA,Ex 2 S3R T5,5/26/16,S3R NPR5I1,52.2,0.423,NA,20
3R,P RPV T5 I 1,P,RPV,5,I,1,NA,NA,Ex 2 S3R T5,5/26/16,S3R PR5I1,53.8,0.1623,NA,20
3R,N RPV T5 I 1,N,RPV,5,I,1,NA,NA,Ex 2 S3R T5,5/26/16,S3R NR5I1,54,0.3887,NA,20
3R,L RPV T5 S 1,L,RPV,5,S,1,NA,NA,Ex 2 S3R T5,5/26/16,S3R LR5S1,55,0.1656,NA,20
1,L PAV T4 I 2,L,PAV,4,I,2,NA,NA,Ex 2 S1 T4,12/9/16,S1 LP4I2,47.1,0.2106,"re-do from 4/21/16, in front -80",20
1,L PAV T4 S 1,L,PAV,4,S,1,NA,NA,Ex 2 S1 T4,12/9/16,S1 LP4S1,47.8,0.2167,"re-do from 4/21/16, didn't see pellet, in front -80",20
1,L PAV T4 I 1,L,PAV,4,I,1,NA,NA,Ex 2 S1 T4,12/9/16,S1 LP4I1,49.5,0.3309,"re-do from 4/21/16, didn't see pellet, in front -80",20
1,L PAV T4 S 2,L,PAV,4,S,2,NA,NA,Ex 2 S1 T4,12/9/16,S1 LP4S2,53.6,0.194,"re-do from 4/21/16, didn't see pellet, in front -80",20
1,P RPV T1 I 2,P,RPV,1,I,2,cage split open and only 2 aphids inside at end of IAP,1,Ex 2 S1 T1,NA,NA,NA,NA,NA,NA
1,P PAV T2 S 1,P,PAV,2,S,1,no aphids put in cages,1,Ex 2 S1 T2,NA,NA,NA,NA,NA,NA
1,P RPV T2 S 1,P,RPV,2,S,1,broke cage off leaf after invasion IAP,1,Ex 2 S1 T2,NA,NA,NA,NA,NA,NA
1,N PAV T3 I 1,N,PAV,3,I,1,broke cage off leaf after invasion IAP,1,Ex 2 S1 T3,NA,NA,NA,NA,NA,NA
1,NP PAV T4 S 2,NP,PAV,4,S,2,no aphids put in cages,1,Ex 2 S1 T4,NA,NA,NA,NA,NA,NA
1,NP RPV T4 S 2,NP,RPV,4,S,2,broke cage off leaf after invasion IAP,1,Ex 2 S1 T4,NA,NA,NA,NA,NA,NA
2,L PAV T2 I 1,L,PAV,2,I,1,broke cage off leaf after invasion IAP,1,Ex 2 S2 T2,NA,NA,NA,NA,NA,NA
2,N RPV T2 I 2,N,RPV,2,I,2,broke cage off leaf after invasion IAP,1,Ex 2 S2 T2,NA,NA,NA,NA,NA,NA
2,P PAV T3 I 2,P,PAV,3,I,2,Infected older leaf during invasion IAP because new leaf fell off,1,Ex 2 S2 T3,NA,NA,NA,NA,NA,NA
2,P RPV T3 S 1,P,RPV,3,S,1,broke cage off leaf after invasion IAP,1,Ex 2 S2 T3,NA,NA,NA,NA,NA,NA
2,NP PAV T4 S 1,NP,PAV,4,S,1,broke leaf with cage after IAP,1,Ex 2 S2 T4,NA,NA,NA,NA,NA,NA
2,P RPV T5 S 1,P,RPV,5,S,1,NA,NA,Ex 2 S2 T5,NA,NA,NA,NA,"didn't extract. I meant to do it, but did PP5S1 instead",NA
3P,L PAV T2 I 2,L,PAV,2,I,2,"broke cage off leaf after invasion IAP, notebook says replicate number is 3, but it seems like it should be 1 or 2",1,Ex 2 S3P T2,NA,NA,NA,NA,NA,NA
3P,NP PAV T3 S 1,NP,PAV,3,S,1,plant not present at harvesting time,1,Ex 2 S3P T3,NA,NA,NA,NA,NA,NA
3R,P RPV T1 I 2,P,RPV,1,I,2,didn't get inoculated,1,Ex 2 S3R T1,NA,NA,NA,NA,NA,NA
3R,N RPV T2 I 2,N,RPV,2,I,2,didn't get inoculated,1,Ex 2 S3R T2,NA,NA,NA,NA,NA,NA
3R,P RPV T2 S 2,P,RPV,2,S,2,didn't get inoculated,1,Ex 2 S3R T2,NA,NA,NA,NA,NA,NA
3R,NP RPV T4 S 2,NP,RPV,4,S,2,didn't get inoculated,1,Ex 2 S3R T4,NA,NA,NA,NA,NA,NA
